City,Temperature (Celcius),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude Coord.,Longitude Coord.,Country
Tolaga Bay,4.88,93,21,1.31,-38.37,178.3,NZ
Busselton,8.84,72,61,6.88,-33.64,115.35,AU
Albany,25,33,20,2.1,42.65,-73.75,US
Rikitea,21.78,93,100,8.1,-23.12,-134.97,PF
Mataura,7.78,92,100,6.71,-46.19,168.86,NZ
Moshkovo,18,68,55,2,55.3,83.61,RU
Bluff,12.78,91,16,0.76,-23.58,149.07,AU
Cabo San Lucas,29.38,24,75,6.2,22.89,-109.91,MX
Atuona,26.78,67,0,4.92,-9.8,-139.03,PF
Seoni Malwa,25.38,93,100,3.65,22.45,77.47,IN
Saint-Philippe,25.25,36,1,2.1,45.36,-73.48,CA
Butaritari,27.97,75,100,4.1,3.07,172.79,KI
Pedasi,28.08,72,100,1.96,7.53,-80.03,PA
Clyde River,11,76,20,1,70.47,-68.59,CA
Jamestown,6.98,87,0,1.98,-33.21,138.6,AU
Esperance,8,93,0,3.6,-33.86,121.89,AU
Bambous Virieux,22.87,83,20,1,-20.34,57.76,MU
Severo-Kurilsk,5.48,98,100,5.87,50.68,156.12,RU
New Norfolk,6.62,66,20,7.7,-42.78,147.06,AU
Victor Harbor,8.21,93,40,2.6,-35.55,138.62,AU
Cotonou,23.28,89,100,3.84,6.37,2.43,BJ
Yellowknife,7.87,81,75,5.1,62.45,-114.38,CA
Cayenne,31,66,54,5.1,4.94,-52.33,GF
Vila Franca do Campo,21,94,75,6.7,37.72,-25.43,PT
Visby,15.85,87,75,3.1,57.64,18.3,SE
Saint-Augustin,25.16,41,20,2.1,45.63,-73.98,CA
East London,17,67,0,2.6,-33.02,27.91,ZA
Abnub,36,22,0,6.2,27.27,31.15,EG
Puerto Ayora,23.88,69,75,7.7,-0.74,-90.35,EC
Haines Junction,18.88,41,97,1.17,60.75,-137.51,CA
Mar del Plata,9.78,60,48,4.93,-46.43,-67.52,AR
Ust-Kuyga,14.48,89,100,3.2,70,135.55,RU
Kavieng,28.48,71,100,3.98,-2.57,150.8,PG
Henties Bay,14.44,85,0,1.34,-22.12,14.28,NA
Muisne,27,83,75,2.6,0.61,-80.02,EC
Hermanus,16.22,71,83,2.68,-34.42,19.24,ZA
Ushirombo,25.98,40,67,2.4,-3.47,31.9,TZ
North Bend,16.12,72,90,2.6,43.41,-124.22,US
Malartic,24,36,20,1.5,48.14,-78.13,CA
Punta Arenas,5,86,90,4.1,-53.16,-70.91,CL
Lebu,15.48,76,84,1.13,8.96,38.73,ET
Ushuaia,6.9,65,0,1.5,-54.81,-68.31,AR
Oksfjord,16.87,45,0,2.6,70.24,22.35,NO
Namtsy,18,68,40,1,62.72,129.66,RU
Marzuq,29.18,35,70,2.23,14.4,46.47,YE
Luderitz,20,56,0,5.7,-26.65,15.16,NA
Cidreira,15.98,50,18,0.54,-30.17,-50.22,BR
Praia,19.64,45,0,4.6,-20.25,-43.81,BR
Thompson,17,93,90,3.1,55.74,-97.86,CA
Vaini,26.08,85,94,5.31,15.34,74.49,IN
Kisesa,23.68,64,26,2.81,-2.55,33.05,TZ
Broome,18.15,51,0,3.1,52.47,1.45,GB
Hobart,6.62,66,20,7.7,-42.88,147.33,AU
Upernavik,5.28,77,100,6.46,72.79,-56.15,GL
Avarua,22,88,0,3.6,-21.21,-159.78,CK
Torbay,22.79,37,20,7.2,47.66,-52.73,CA
Iqaluit,10,81,75,1.5,63.75,-68.52,CA
Lambarene,25.78,68,27,2.15,-0.7,10.22,GA
Ahipara,13.78,66,97,3.99,-35.17,173.16,NZ
Norman Wells,14,62,75,6.2,65.28,-126.83,CA
Sijunjung,19.68,99,100,1.32,-0.69,100.95,ID
Tindwari,29.58,74,99,6.25,25.62,80.53,IN
Ulladulla,5.84,81,0,1,-35.36,150.48,AU
Bitung,23,94,40,1.9,1.44,125.19,ID
Laguna,27,83,75,2.1,16.17,-88.94,BZ
Karratha,19.88,43,0,4.03,-20.74,116.85,AU
Eureka,14.03,93,90,3.83,40.8,-124.16,US
Barrow,11.38,59,100,5.97,-38.31,-60.23,AR
Saint George,34.71,33,20,5.1,39.45,22.34,GR
Quang Ngai,23.78,84,0,1.8,15.12,108.8,VN
Bayir,32.4,35,0,4.6,37.27,28.22,TR
Jinka,18.48,74,22,2.46,5.79,36.57,ET
Hilo,23.51,94,90,3.6,19.71,-155.08,US
Honiara,24,94,40,9.67,-9.43,159.96,SB
Anadyr,10.76,87,0,3,64.73,177.51,RU
Souillac,31.26,31,0,4.6,45.6,-0.6,FR
Requena,27.92,65,40,6.2,39.49,-1.1,ES
Ostrovnoy,4.28,91,97,5.9,68.05,39.51,RU
Palu,22.78,93,44,1.37,-0.9,119.87,ID
Pangnirtung,7,100,90,4.6,66.15,-65.72,CA
Cape Town,16.33,82,75,5.1,-33.93,18.42,ZA
Vardo,21.77,88,90,5.1,39.62,-77.74,US
Hualmay,17.08,86,51,6,-11.1,-77.61,PE
Georgetown,31.07,74,40,5.1,6.8,-58.16,GY
Bethel,18.01,93,1,3.9,60.79,-161.76,US
Hithadhoo,29.18,78,34,6.34,-0.6,73.08,MV
San Cristobal,27.78,53,79,2.65,14.68,-86.92,HN
Coquimbo,16.02,71,90,2.6,-29.95,-71.34,CL
Fortuna,14.35,100,90,3.1,40.6,-124.16,US
Rio Grande,15,62,0,3.1,-32.03,-52.1,BR
Te Anau,5.38,79,100,4.8,-45.41,167.72,NZ
Grindavik,12.53,71,75,3.6,63.84,-22.43,IS
Pisco,19.87,30,75,4.1,-13.71,-76.2,PE
Geraldton,22,53,90,1.5,49.72,-86.95,CA
Half Moon Bay,14.84,87,90,4.1,37.46,-122.43,US
Yima,17.78,84,100,2.01,34.75,111.87,CN
Komsomolskiy,8.78,68,76,4.97,67.55,63.78,RU
Methoni,35.35,19,0,5.1,36.82,21.7,GR
Wattegama,23.68,90,99,1.65,7.35,80.68,LK
Tiksi,11.58,84,83,2.51,71.64,128.87,RU
Port Elizabeth,21.62,88,40,5.7,39.31,-74.98,US
Port Alfred,17.78,72,71,3.58,-33.59,26.89,ZA
Castro,10,93,90,5.7,-42.48,-73.76,CL
Ambovombe,21.58,77,1,6.36,-25.18,46.09,MG
Sioux Lookout,25.58,57,75,5.7,50.1,-91.92,CA
Bredasdorp,17.86,59,50,6.7,-34.53,20.04,ZA
Vao,15.28,73,0,3.55,59.1,26.19,EE
